"delegate","delegate-matched","type","state","party","value","pac","committee-id","committee","title","rank","score"
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",7000,"BASF Corp","SSAP17","Department of the Interior, Environment, and Related Agencies","Member",2,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",7000,"BASF Corp","SSAP18","Departments of Labor, Health and Human Services, and Education, and Related Agencies","Member",5,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",7000,"BASF Corp","SSAP22","Energy and Water Development","Chairman",1,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",7000,"BASF Corp","SSAP24","Transportation, Housing and Urban Development, and Related Agencies","Member",3,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",7000,"BASF Corp","SSEG","Senate Committee on Energy and Natural Resources","Member",11,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",7000,"BASF Corp","SSEG01","Energy","Member",7,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",7000,"BASF Corp","SSEG03","Public Lands, Forests, and Mining","Member",10,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",7000,"BASF Corp","SSEG04","National Parks","Member",4,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",7000,"BASF Corp","SSHR","Senate Committee on Health, Education, Labor, and Pensions","Chairman",1,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",7000,"BASF Corp","SSHR09","Children and Families","Ex Officio",8,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",7000,"BASF Corp","SSHR11","Employment and Workplace Safety","Ex Officio",7,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",7000,"BASF Corp","SSHR12","Primary Health and Retirement Security","Ex Officio",10,65519
"Alexander, Lamar","Lamar Alexander","Senator","TN","R",7000,"BASF Corp","SSRA","Senate Committee on Rules and Administration","Member",2,65519
"Booker, Cory","Cory A. Booker","Senator","NJ","D",3000,"BASF Corp","SSCM","Senate Committee on Commerce, Science, and Transportation","Member",8,177
"Booker, Cory","Cory A. Booker","Senator","NJ","D",3000,"BASF Corp","SSCM01","Aviation Operations, Safety, and Security","Member",6,177
"Booker, Cory","Cory A. Booker","Senator","NJ","D",3000,"BASF Corp","SSCM20","Consumer Protection, Product Safety, Insurance, and Data Security","Member",5,177
"Booker, Cory","Cory A. Booker","Senator","NJ","D",3000,"BASF Corp","SSCM22","Oceans, Atmosphere, Fisheries, and Coast Guard","Ranking Member",1,177
"Booker, Cory","Cory A. Booker","Senator","NJ","D",3000,"BASF Corp","SSCM24","Space, Science, and Competitiveness","Member",3,177
"Booker, Cory","Cory A. Booker","Senator","NJ","D",3000,"BASF Corp","SSCM25","Surface Transportation and Merchant Marine Infrastructure, Safety and Security","Ranking Member",1,177
"Booker, Cory","Cory A. Booker","Senator","NJ","D",3000,"BASF Corp","SSCM26","Communications, Technology, Innovation, and the Internet","Member",7,177
"Booker, Cory","Cory A. Booker","Senator","NJ","D",3000,"BASF Corp","SSEV","Senate Committee on Environment and Public Works","Member",8,177
"Booker, Cory","Cory A. Booker","Senator","NJ","D",3000,"BASF Corp","SSEV09","Superfund, Waste Management, and Regulatory Oversight","Member",4,177
"Booker, Cory","Cory A. Booker","Senator","NJ","D",3000,"BASF Corp","SSEV15","Fisheries, Water, and Wildlife","Member",6,177
"Booker, Cory","Cory A. Booker","Senator","NJ","D",3000,"BASF Corp","SSGA","Senate Committee on Homeland Security and Governmental Affairs","Member",6,177
"Booker, Cory","Cory A. Booker","Senator","NJ","D",3000,"BASF Corp","SSGA18","Federal Spending Oversight and Emergency Management","Member",3,177
"Booker, Cory","Cory A. Booker","Senator","NJ","D",3000,"BASF Corp","SSGA19","Regulatory Affairs and Federal Management","Member",3,177
"Booker, Cory","Cory A. Booker","Senator","NJ","D",3000,"BASF Corp","SSSB","Senate Committee on Small Business and Entrepreneurship","Member",6,177
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","JSLC","Joint Committee on the Library","Member",3,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSAP","Senate Committee on Appropriations","Member",13,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSAP08","Legislative Branch","Chairman",1,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSAP16","Commerce, Justice, Science, and Related Agencies","Member",8,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSAP18","Departments of Labor, Health and Human Services, and Education, and Related Agencies","Member",9,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSAP19","Military Construction and Veterans Affairs, and Related Agencies","Member",7,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSAP24","Transportation, Housing and Urban Development, and Related Agencies","Member",7,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSEG","Senate Committee on Energy and Natural Resources","Member",12,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSEG01","Energy","Member",9,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSEG03","Public Lands, Forests, and Mining","Member",2,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSEG04","National Parks","Member",7,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSEV","Senate Committee on Environment and Public Works","Member",4,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSEV08","Transportation and Infrastructure","Member",3,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSEV10","Clean Air and Nuclear Safety","Chairman",1,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSEV15","Fisheries, Water, and Wildlife","Member",3,2097130
"Capito, Shelley Moore","Shelley Moore Capito","Senator","WV","R",7500,"BASF Corp","SSRA","Senate Committee on Rules and Administration","Member",8,2097130
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","JSEC","Joint Economic Committee","Member",6,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSAP","Senate Committee on Appropriations","Member",14,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSAP14","Department of Homeland Security","Member",6,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSAP17","Department of the Interior, Environment, and Related Agencies","Member",8,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSAP18","Departments of Labor, Health and Human Services, and Education, and Related Agencies","Member",8,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSAP19","Military Construction and Veterans Affairs, and Related Agencies","Member",8,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSAP24","Transportation, Housing and Urban Development, and Related Agencies","Member",8,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSEG","Senate Committee on Energy and Natural Resources","Member",7,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSEG01","Energy","Member",4,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSEG03","Public Lands, Forests, and Mining","Member",6,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSEG04","National Parks","Chairman",1,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSHR","Senate Committee on Health, Education, Labor, and Pensions","Member",12,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSHR09","Children and Families","Member",7,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSHR11","Employment and Workplace Safety","Member",6,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSHR12","Primary Health and Retirement Security","Member",8,8178
"Cassidy, Bill","Bill Cassidy","Senator","LA","R",5000,"BASF Corp","SSVA","Senate Committee on Veterans' Affairs","Member",5,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Member",2,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAF13","Commodities, Risk Management and Trade","Member",2,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAF14","Conservation, Forestry and Natural Resources","Member",2,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAF15","Rural Development and Energy","Member",2,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAP","Senate Committee on Appropriations","Chairman",1,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAP01","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Member",3,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAP02","Department of Defense","Chairman",1,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAP08","Legislative Branch","Ex Officio",4,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAP14","Department of Homeland Security","Member",2,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAP16","Commerce, Justice, Science, and Related Agencies","Ex Officio",10,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAP17","Department of the Interior, Environment, and Related Agencies","Member",3,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAP18","Departments of Labor, Health and Human Services, and Education, and Related Agencies","Member",4,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAP19","Military Construction and Veterans Affairs, and Related Agencies","Ex Officio",9,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAP20","State, Foreign Operations, and Related Programs","Ex Officio",9,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAP22","Energy and Water Development","Member",2,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAP23","Financial Services and General Government","Ex Officio",4,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSAP24","Transportation, Housing and Urban Development, and Related Agencies","Ex Officio",10,8178
"Cochran, Thad","Thad Cochran","Senator","MS","R",10000,"BASF Corp","SSRA","Senate Committee on Rules and Administration","Member",4,8178
"Collins, Susan M","Susan M. Collins","Senator","ME","R",5000,"BASF Corp","SLIN","Senate Select Committee on Intelligence","Member",5,749
"Collins, Susan M","Susan M. Collins","Senator","ME","R",5000,"BASF Corp","SPAG","Senate Special Committee on Aging","Chairman",1,749
"Collins, Susan M","Susan M. Collins","Senator","ME","R",5000,"BASF Corp","SSAP","Senate Committee on Appropriations","Member",5,749
"Collins, Susan M","Susan M. Collins","Senator","ME","R",5000,"BASF Corp","SSAP01","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Member",5,749
"Collins, Susan M","Susan M. Collins","Senator","ME","R",5000,"BASF Corp","SSAP02","Department of Defense","Member",5,749
"Collins, Susan M","Susan M. Collins","Senator","ME","R",5000,"BASF Corp","SSAP16","Commerce, Justice, Science, and Related Agencies","Member",4,749
"Collins, Susan M","Susan M. Collins","Senator","ME","R",5000,"BASF Corp","SSAP19","Military Construction and Veterans Affairs, and Related Agencies","Member",5,749
"Collins, Susan M","Susan M. Collins","Senator","ME","R",5000,"BASF Corp","SSAP22","Energy and Water Development","Member",5,749
"Collins, Susan M","Susan M. Collins","Senator","ME","R",5000,"BASF Corp","SSAP24","Transportation, Housing and Urban Development, and Related Agencies","Chairman",1,749
"Collins, Susan M","Susan M. Collins","Senator","ME","R",5000,"BASF Corp","SSHR","Senate Committee on Health, Education, Labor, and Pensions","Member",6,749
"Collins, Susan M","Susan M. Collins","Senator","ME","R",5000,"BASF Corp","SSHR12","Primary Health and Retirement Security","Member",3,749
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SLET","Senate Select Committee on Ethics","Member",2,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSAP","Senate Committee on Appropriations","Member",11,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSAP16","Commerce, Justice, Science, and Related Agencies","Member",6,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSAP20","State, Foreign Operations, and Related Programs","Member",5,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSAP22","Energy and Water Development","Member",8,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSAP23","Financial Services and General Government","Ranking Member",1,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSAP24","Transportation, Housing and Urban Development, and Related Agencies","Member",6,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSFR","Senate Committee on Foreign Relations","Member",5,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSFR02","East Asia, the Pacific, and International Cybersecurity Policy","Member",3,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSFR09","Africa and Global Health Policy","Member",2,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSFR14","State Department and USAID Management, International Operations, and Bilateral International Development","Member",3,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSJU","Senate Committee on the Judiciary","Member",8,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSJU01","Antitrust, Competition Policy and Consumer Rights","Member",2,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSJU21","the Constitution","Member",3,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSJU23","Privacy, Technology and the Law","Member",5,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSJU25","Oversight, Agency Action, Federal Rights and Federal Courts","Ranking Member",1,115
"Coons, Chris","Christopher A. Coons","Senator","DE","D",5000,"BASF Corp","SSSB","Senate Committee on Small Business and Entrepreneurship","Member",7,115
"Cornyn, John","John Cornyn","Senator","TX","R",10000,"BASF Corp","SCNC","United States Senate Caucus on International Narcotics Control","Member",2,4083
"Cornyn, John","John Cornyn","Senator","TX","R",10000,"BASF Corp","SSFI","Senate Committee on Finance","Member",6,4083
"Cornyn, John","John Cornyn","Senator","TX","R",10000,"BASF Corp","SSFI11","Taxation and IRS Oversight","Member",4,4083
"Cornyn, John","John Cornyn","Senator","TX","R",10000,"BASF Corp","SSFI12","Energy, Natural Resources, and Infrastructure","Member",5,4083
"Cornyn, John","John Cornyn","Senator","TX","R",10000,"BASF Corp","SSFI13","International Trade, Customs, and Global Competitiveness","Chairman",1,4083
"Cornyn, John","John Cornyn","Senator","TX","R",10000,"BASF Corp","SSJU","Senate Committee on the Judiciary","Member",5,4083
"Cornyn, John","John Cornyn","Senator","TX","R",10000,"BASF Corp","SSJU04","Immigration and the National Interest","Member",5,4083
"Cornyn, John","John Cornyn","Senator","TX","R",10000,"BASF Corp","SSJU21","the Constitution","Chairman",1,4083
"Cornyn, John","John Cornyn","Senator","TX","R",10000,"BASF Corp","SSJU22","Crime and Terrorism","Member",4,4083
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSCM","Senate Committee on Commerce, Science, and Transportation","Member",12,8178
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSCM01","Aviation Operations, Safety, and Security","Member",11,8178
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSCM20","Consumer Protection, Product Safety, Insurance, and Data Security","Member",6,8178
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSCM24","Space, Science, and Competitiveness","Member",5,8178
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSCM26","Communications, Technology, Innovation, and the Internet","Member",11,8178
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSEG","Senate Committee on Energy and Natural Resources","Member",8,8178
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSEG01","Energy","Member",5,8178
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSEG03","Public Lands, Forests, and Mining","Member",7,8178
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSEG07","Water and Power","Member",6,8178
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSFR","Senate Committee on Foreign Relations","Member",6,8178
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSFR01","Europe and Regional Security Cooperation","Member",4,8178
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSFR02","East Asia, the Pacific, and International Cybersecurity Policy","Chairman",1,8178
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSFR06","Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues","Member",3,8178
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSFR15","Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy","Member",5,8178
"Gardner, Cory","Cory Gardner","Senator","CO","R",5000,"BASF Corp","SSSB","Senate Committee on Small Business and Entrepreneurship","Member",7,8178
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SLIA","Senate Committee on Indian Affairs","Member",3,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSAP","Senate Committee on Appropriations","Member",6,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSAP02","Department of Defense","Member",6,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSAP14","Department of Homeland Security","Member",4,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSAP16","Commerce, Justice, Science, and Related Agencies","Member",3,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSAP17","Department of the Interior, Environment, and Related Agencies","Chairman",1,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSAP19","Military Construction and Veterans Affairs, and Related Agencies","Member",3,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSAP22","Energy and Water Development","Member",6,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSEG","Senate Committee on Energy and Natural Resources","Chairman",1,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSEG01","Energy","Ex Officio",10,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSEG03","Public Lands, Forests, and Mining","Ex Officio",11,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSEG04","National Parks","Ex Officio",8,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSEG07","Water and Power","Ex Officio",8,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSHR","Senate Committee on Health, Education, Labor, and Pensions","Member",7,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSHR09","Children and Families","Member",2,32752
"Murkowski, Lisa","Lisa Murkowski","Senator","AK","R",6000,"BASF Corp","SSHR12","Primary Health and Retirement Security","Member",9,32752
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SLIN","Senate Select Committee on Intelligence","Ex Officio",9,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSAP","Senate Committee on Appropriations","Member",6,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSAP02","Department of Defense","Member",6,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSAP16","Commerce, Justice, Science, and Related Agencies","Member",4,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSAP17","Department of the Interior, Environment, and Related Agencies","Member",4,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSAP18","Departments of Labor, Health and Human Services, and Education, and Related Agencies","Member",3,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSAP19","Military Construction and Veterans Affairs, and Related Agencies","Member",3,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSAP24","Transportation, Housing and Urban Development, and Related Agencies","Ranking Member",1,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSAS","Senate Committee on Armed Services","Ranking Member",1,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSAS13","SeaPower","Ex Officio",7,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSAS14","Airland","Ex Officio",8,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSAS15","Readiness and Management Support","Ex Officio",6,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSAS16","Strategic Forces","Ex Officio",6,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSAS17","Personnel","Ex Officio",5,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSAS20","Emerging Threats and Capabilities","Ex Officio",7,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSBK","Senate Committee on Banking, Housing, and Urban Affairs","Member",2,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSBK04","Securities, Insurance, and Investment","Member",2,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSBK08","Financial Institutions and Consumer Protection","Member",2,1013
"Reed, Jack","Jack Reed","Senator","RI","D",6000,"BASF Corp","SSBK09","Housing, Transportation, and Community Development","Member",2,1013
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","JSLC","Joint Committee on the Library","Member",2,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","JSPR","Joint Committee on Printing","Member",2,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SLET","Senate Select Committee on Ethics","Member",2,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSAF","Senate Committee on Agriculture, Nutrition, and Forestry","Chairman",1,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSAF13","Commodities, Risk Management and Trade","Ex Officio",7,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSAF14","Conservation, Forestry and Natural Resources","Ex Officio",7,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSAF15","Rural Development and Energy","Ex Officio",7,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSAF16","Nutrition, Specialty Crops, and Agricultural Research","Ex Officio",7,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSAF17","Livestock, Marketing and Agriculture Security","Ex Officio",7,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSFI","Senate Committee on Finance","Member",4,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSFI10","Health Care","Member",3,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSFI11","Taxation and IRS Oversight","Member",2,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSFI13","International Trade, Customs, and Global Competitiveness","Member",3,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSHR","Senate Committee on Health, Education, Labor, and Pensions","Member",11,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSHR09","Children and Families","Member",6,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSHR11","Employment and Workplace Safety","Member",5,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSHR12","Primary Health and Retirement Security","Member",7,4083
"Roberts, Pat","Pat Roberts","Senator","KS","R",5000,"BASF Corp","SSRA","Senate Committee on Rules and Administration","Member",5,4083
"Scott, Tim","Tim Scott","Senator","SC","R",3000,"BASF Corp","SPAG","Senate Special Committee on Aging","Member",5,1013
"Scott, Tim","Tim Scott","Senator","SC","R",3000,"BASF Corp","SSBK","Senate Committee on Banking, Housing, and Urban Affairs","Member",8,1013
"Scott, Tim","Tim Scott","Senator","SC","R",3000,"BASF Corp","SSBK04","Securities, Insurance, and Investment","Member",6,1013
"Scott, Tim","Tim Scott","Senator","SC","R",3000,"BASF Corp","SSBK08","Financial Institutions and Consumer Protection","Member",8,1013
"Scott, Tim","Tim Scott","Senator","SC","R",3000,"BASF Corp","SSBK09","Housing, Transportation, and Community Development","Chairman",1,1013
"Scott, Tim","Tim Scott","Senator","SC","R",3000,"BASF Corp","SSFI","Senate Committee on Finance","Member",14,1013
"Scott, Tim","Tim Scott","Senator","SC","R",3000,"BASF Corp","SSFI02","Social Security, Pensions, and Family Policy","Member",4,1013
"Scott, Tim","Tim Scott","Senator","SC","R",3000,"BASF Corp","SSFI10","Health Care","Member",8,1013
"Scott, Tim","Tim Scott","Senator","SC","R",3000,"BASF Corp","SSFI11","Taxation and IRS Oversight","Member",11,1013
"Scott, Tim","Tim Scott","Senator","SC","R",3000,"BASF Corp","SSHR","Senate Committee on Health, Education, Labor, and Pensions","Member",9,1013
"Scott, Tim","Tim Scott","Senator","SC","R",3000,"BASF Corp","SSHR11","Employment and Workplace Safety","Member",3,1013
"Scott, Tim","Tim Scott","Senator","SC","R",3000,"BASF Corp","SSHR12","Primary Health and Retirement Security","Member",5,1013
"Scott, Tim","Tim Scott","Senator","SC","R",3000,"BASF Corp","SSSB","Senate Committee on Small Business and Entrepreneurship","Member",5,1013
"Sessions, Jeff","Jeff Sessions","Senator","AL","R",2000,"BASF Corp","SCNC","United States Senate Caucus on International Narcotics Control","Member",4,16369
"Sessions, Jeff","Jeff Sessions","Senator","AL","R",2000,"BASF Corp","SSAS","Senate Committee on Armed Services","Member",3,16369
"Sessions, Jeff","Jeff Sessions","Senator","AL","R",2000,"BASF Corp","SSAS13","SeaPower","Member",2,16369
"Sessions, Jeff","Jeff Sessions","Senator","AL","R",2000,"BASF Corp","SSAS14","Airland","Member",3,16369
"Sessions, Jeff","Jeff Sessions","Senator","AL","R",2000,"BASF Corp","SSAS16","Strategic Forces","Chairman",1,16369
"Sessions, Jeff","Jeff Sessions","Senator","AL","R",2000,"BASF Corp","SSBU","Senate Committee on the Budget","Member",3,16369
"Sessions, Jeff","Jeff Sessions","Senator","AL","R",2000,"BASF Corp","SSEV","Senate Committee on Environment and Public Works","Member",7,16369
